Pclass,Age,SibSp,Parch,Fare,Title,sp,cabine_n,IsAlone,Sex_female,Sex_male
1,34.5,0,0,7.8292,1,0,0,1,0,1
1,47.0,1,0,7.0,5,1,1,0,1,0
2,62.0,0,0,9.6875,1,0,0,1,0,1
1,27.0,0,0,8.6625,1,0,1,1,0,1
1,22.0,1,1,12.2875,5,2,0,0,1,0
1,14.0,0,0,9.225,1,0,0,1,0,1
1,30.0,0,0,7.6292,4,0,1,1,1,0
2,26.0,1,1,29.0,1,2,0,0,0,1
1,18.0,0,0,7.2292,5,0,0,1,1,0
1,21.0,2,0,24.15,1,2,0,0,0,1
1,25.7904157840988,0,0,7.8958,1,0,1,1,0,1
3,46.0,0,0,26.0,1,0,1,1,0,1
3,23.0,1,0,82.2667,5,1,0,0,1,0
2,63.0,1,0,26.0,1,1,0,0,0,1
3,47.0,1,0,61.175,5,1,0,0,1,0
2,24.0,1,0,27.7208,5,1,0,0,1,0
2,35.0,0,0,12.35,1,0,0,1,0,1
1,21.0,0,0,7.225,1,0,0,1,0,1
1,27.0,1,0,7.925,4,1,0,0,1,0
1,45.0,0,0,7.225,5,0,0,1,1,0
3,55.0,1,0,59.4,1,1,0,0,0,1
1,9.0,0,1,3.1708,3,1,1,0,0,1
3,35.75156874964135,0,0,31.6833,5,0,0,1,1,0
3,21.0,0,1,61.3792,1,1,1,0,0,1
3,48.0,1,3,262.375,5,4,0,0,1,0
1,50.0,1,0,14.5,1,1,0,0,0,1
3,22.0,0,1,61.9792,4,1,0,0,1,0
1,22.5,0,0,7.225,1,0,1,1,0,1
3,41.0,0,0,30.5,1,0,0,1,0,1
1,23.854903291845382,2,0,21.6792,1,2,0,0,0,1
2,50.0,1,0,26.0,1,1,0,0,0,1
2,24.0,2,0,31.5,1,2,1,0,0,1
1,33.0,1,2,20.575,5,3,0,0,1,0
1,20.451581876913917,1,2,23.45,5,3,0,0,1,0
3,30.0,1,0,57.75,1,1,0,0,0,1
1,18.5,0,0,7.2292,1,0,0,1,0,1
1,23.639329014752537,0,0,8.05,4,0,0,1,1,0
1,21.0,0,0,8.6625,4,0,0,1,1,0
